Initial mixed population size: 1000. Mixed population ratio: (0.5,0.5)
==> Cycle: 111, Population ratio: (0.456,0.544)
==> Cycle: 112, Population ratio: (0.52,0.48)
==> Cycle: 113, Population ratio: (0.522,0.478)
==> Cycle: 114, Population ratio: (0.484,0.516)
==> Cycle: 115, Population ratio: (0.576,0.42400000000000004)
==> Cycle: 116, Population ratio: (0.638,0.362)
==> Cycle: 117, Population ratio: (0.646,0.354)
==> Cycle: 118, Population ratio: (0.678,0.32199999999999995)
==> Cycle: 119, Population ratio: (0.778,0.22199999999999998)
==> Cycle: 120, Population ratio: (0.716,0.28400000000000003)
==> Cycle: 121, Population ratio: (0.716,0.28400000000000003)
==> Cycle: 122, Population ratio: (0.732,0.268)
==> Cycle: 123, Population ratio: (0.74,0.26)
==> Cycle: 124, Population ratio: (0.74,0.26)
==> Cycle: 125, Population ratio: (0.706,0.29400000000000004)
==> Cycle: 126, Population ratio: (0.746,0.254)
==> Cycle: 127, Population ratio: (0.756,0.244)
==> Cycle: 128, Population ratio: (0.746,0.254)
==> Cycle: 129, Population ratio: (0.724,0.276)
==> Cycle: 130, Population ratio: (0.716,0.28400000000000003)
==> Cycle: 131, Population ratio: (0.78,0.21999999999999997)
==> Cycle: 132, Population ratio: (0.758,0.242)
==> Cycle: 133, Population ratio: (0.768,0.23199999999999998)
==> Cycle: 134, Population ratio: (0.792,0.20799999999999996)
==> Cycle: 135, Population ratio: (0.782,0.21799999999999997)
==> Cycle: 136, Population ratio: (0.828,0.17200000000000004)
==> Cycle: 137, Population ratio: (0.792,0.20799999999999996)
==> Cycle: 138, Population ratio: (0.82,0.18000000000000005)
==> Cycle: 139, Population ratio: (0.82,0.18000000000000005)
==> Cycle: 140, Population ratio: (0.774,0.22599999999999998)
==> Cycle: 141, Population ratio: (0.744,0.256)
==> Cycle: 142, Population ratio: (0.782,0.21799999999999997)
==> Cycle: 143, Population ratio: (0.734,0.266)
==> Cycle: 144, Population ratio: (0.678,0.32199999999999995)
==> Cycle: 145, Population ratio: (0.724,0.276)
==> Cycle: 146, Population ratio: (0.78,0.21999999999999997)
==> Cycle: 147, Population ratio: (0.768,0.23199999999999998)
==> Cycle: 148, Population ratio: (0.794,0.20599999999999996)
==> Cycle: 149, Population ratio: (0.796,0.20399999999999996)
==> Cycle: 150, Population ratio: (0.802,0.19799999999999995)
==> Cycle: 151, Population ratio: (0.748,0.252)
==> Cycle: 152, Population ratio: (0.734,0.266)
==> Cycle: 153, Population ratio: (0.782,0.21799999999999997)
==> Cycle: 154, Population ratio: (0.684,0.31599999999999995)
==> Cycle: 155, Population ratio: (0.674,0.32599999999999996)
==> Cycle: 156, Population ratio: (0.764,0.236)
==> Cycle: 157, Population ratio: (0.74,0.26)
